,0,1,2
317,2016,"Wharton, Edith",43
318,4742,"Shaw, George Bernard",43
319,4743,"Shaw, Bernhard",43
320,4744,"Shaw, G. Bernard (George Bernard)",43
321,4745,"Bassetto, Corno di",43
322,4746,"Shaw, G. B. (George Bernard)",43
323,4747,"Shaw, Bernard",43
324,5599,"Cannon, Richard",43
325,229,Q,42
326,230,"Quiller-Couch, Sir Arthur Thomas",42
327,231,"Quiller-Couch, A. T. (Arthur Thomas)",42
328,232,"Quiller-Couch, Arthur Thomas",42
329,233,"Quiller-Couch, Arthur",42
330,2766,"Russell, W. Clark (William Clark)",42
331,2767,"Russell, William Clark",42
332,5950,National Park Service (U.S.),42
333,5951,United States. Department of the Interior. National Park Service,42
334,5952,"Service, United States National Park",42
335,5953,"Service, National Park",42
336,5954,United States. National Park Service,42
337,7079,"Borrow, George Henry",42
338,7080,"Borrow, George",42
339,3781,"Fitch, Clarke",41
340,3782,"Garrison, Frederick",41
341,3783,"Sinclair, Upton Beall",41
342,3784,"Sinclair, Upton",41
343,3973,"Rohlfs, Mrs. Charles",41
344,3974,"Rohlfs, Anna Katharine Green",41
345,3975,"Green, Anna Katharine",41
346,205,"Bailey, Arthur Scott",40
347,332,"Becke, George Louis",40
348,333,"Becke, Louis",40
349,482,"Burroughs, Edgar Rice",40
350,1970,"Carlyle, T. (Thomas)",40
351,1971,"Carlyle, Thomas",40
352,2169,"Hancock, Harrie Irving",40
353,2170,"Hancock, H. Irving (Harrie Irving)",40
354,2309,"Titmarsh, Michael Angelo",40
355,2310,"Thackeray, W. M.",40
356,2311,"Titmarsh, M. A.",40
357,2312,"Thackeray, William Makepeace",40
358,2315,"Sinclair, B. M. (Bertha Muzzy)",40
359,2316,"Sinclair, Bertha Muzzy",40
360,2317,"Bower, B. M.",40
361,2490,"Korzeniowski, Joseph Conrad Theodore",40
362,2491,"Korzeniowski, Józef Konrad Teodor",40
363,2492,"Korzeniowski, Jozef Konrad Teodor",40
364,2493,"Conrad, Joseph",40
365,11540,"Seingalt, Jacques Casanova de",40
366,11541,"Seingalt, Giacomo Girolamo Casanova de",40
367,11542,"Casanova, Giacomo",40
368,461,"Bangs, John Kendrick",39
369,3630,"Morgan, Jane",39
370,3631,"Cooper, Fenimore",39
371,3632,"Cooper, J. Fenimore (James Fenimore)",39
372,3633,"Cooper, James Fenimore",39
373,4882,"Yeats, William Butler",39
374,4883,"Yeats, W. B. (William Butler)",39
