,0,1,2
590,3044,Uncle Herbert,35
591,3045,"Herbert, Uncle",35
592,3046,"Arthur, T. S. (Timothy Shay)",35
593,3561,"Altsheler, Joseph Alexander",35
594,3562,"Altsheler, J. A. (Joseph Alexander)",35
595,3563,"Altsheler, Joseph A. (Joseph Alexander)",35
596,4544,"Ward, Mary Augusta Arnold",35
597,4545,"Ward, Mrs. Humphry",35
598,4546,"Arnold, Mary Augusta",35
599,4547,"Ward, Humphry, Mrs.",35
600,5598,"Hoare, Edward",35
601,5710,"Guizot, Francois Pierre Guillaume",35
602,5711,"Guizot, François Pierre Guillaume",35
603,5712,"Guizot, M. (François)",35
604,5713,"Guisot, M. (François)",35
605,5714,"Guizot, Monsieur (François)",35
606,5715,"Guizot, FranÃ§ois",35
607,5716,"Guizot, François",35
608,247,"Peshkov, Alexey Maximiovich",34
609,248,"Горький, Максим",34
610,249,"Gorky, Maxim",34
611,250,"Gorky, Maxime",34
612,251,"Gorki, Maximo",34
613,252,"Gorky, Maksim",34
614,1820,"Barrie, James Matthew",34
615,1821,"Barrie, J.M.",34
616,1822,"Barrie, J. M. (James Matthew)",34
617,2089,"Lancaster, William Joseph Cosens",34
618,2090,"Collingwood, Harry",34
619,2347,"Heusser, Johanna Louise",34
620,2348,"Spyri, Johanna Heusser",34
621,2349,"Spyri, Johanna",34
622,4493,"Gray, Zane",34
623,4494,"Gray, Pearl Zane",34
624,4495,"Grey, Zane",34
625,6513,"Weyman, Stanley J. (Stanley John)",34
626,6514,"Weyman, Stanley John",34
627,6868,"Williamson, Alice Muriel",34
628,6869,"Williamson, Mrs. C. N.",34
629,6871,"Williamson, A. M. (Alice Muriel)",34
630,8252,"Administration, Work Projects",34
631,8253,United States. Work Projects Administration,34
632,12247,"McCord, Guy",34
633,12248,"Reynolds, Dallas McCord",34
634,12249,"Mallory, Mark",34
635,12250,"Reynolds, Mack",34
636,403,"Edwards, Al",33
637,404,"Nourse, Alan E. (Alan Edward)",33
638,405,"Nourse, Alan Edward",33
639,1294,"LeFanu, J. S. (Joseph Sheridan)",33
640,1295,"Fanu, Joseph Sheridan Le",33
641,1296,"Fanu, J. Sheridan Le",33
642,1297,"Le Fanu, Joseph Sheridan",33
643,1876,"Paine, Albert Bigelow",33
644,2363,"Montgomery, Lucy Maud",33
645,2364,"MacDonald, Lucy Maud Montgomery",33
646,2365,"Montgomery, L. M. (Lucy Maud)",33
647,2412,"Valdés, Armando Palacio",33
648,2413,"Palacio Valdes, Armando",33
649,2414,"Palacio Valdés, Armando",33
650,3392,"Gaboriau, Émile",33
651,3393,"Gaboriau, Emile",33
652,5146,"Jerome, J. K.",33
653,5147,"Jerome, J.K.",33
654,5148,"Jerome, Jerome Clapp",33
655,6635,"Brehm, A. E. (Alfred Edmund)",33
656,6636,"Brehm, Alfred Edmund",33
657,6865,"Allen, Charles Grant Blairfindie",33
658,6866,"Allen, Grant",33
659,7360,"Freud, Sigmund",33
660,907,"Holmes, Gordon",32
661,1275,"Ingersoll, Bob",32
662,1276,"Ingersoll, R. G. (Robert Green)",32
663,1277,"Ingersoll, Robert G. (Robert Green)",32
664,1278,"Ingersoll, Robert Green",32
665,1769,"Matthews, Stanley R.",32
666,1890,"Gourmont, Remi de",32
667,1891,"De Gourmont, Remy",32
668,1892,"Gourmont, Remye",32
669,1893,L'Ymagier,32
670,1894,"Le Danois, N.",32
671,1895,"Drexelius, J.",32
672,1896,"Coffe, M.",32
673,1897,"Gourmont, Rémy de",32
674,1898,"Gourmont, Remy de",32
675,2700,"Lamartine, Alphonse Marie Louis de",32
676,2701,"De Lamartine, Alphonse",32
