author_name,book_id
"Johnson, Benj. F. of Boone",60150
"Riley, James Whitcomb",58405
"Riley, James Whitcomb",58946
"Nye, Edgar Wilson",24952
"Nye, Edgar W. (Edgar Wilson)",27904
"Nye, Edgar W. (Edgar Wilson)",55553
"Nye, Edgar W. (Edgar Wilson)",49979
"Nye, Bill",55545
"Nye, Bill",51756
"Nye, Bill",58854
"Kaler, James Otis",53039
"Orton, James K.",33921
"Otis, James",689
"Otis, James",63257
"Otis, James",65760
"Bridges, Robert",68514
"Schmitz, James Henry",43783
"Schmitz, James Henry",18610
"Schmitz, James H.",52262
"Schmitz, James H.",25403
"Beach, Rex Ellingwood",41442
"Beach, Rex Ellingwood",68110
"Beach, Rex",35461
"Catherwood, Mary Hartwell",1803
"Catherwood, Mary Hartwell",61416
"Catherwood, Mary Hartwell",62696
"Marks, Jeanette Augustus",63866
"Marks, Jeannette Augustus",56650
"Williams, Robert Moore",55111
"Parkman, F. (Francis)",55166
"Parkman, F. (Francis)",62146
"Parkman, Francis",4567
"Parkman, Francis",58276
"Davis, W. S. (William Stearns)",60605
"Davis, W. S. (William Stearns)",69614
"Ludwig, Edward William",25489
"Ludwig, Edward William",1300
"Ludwig, Edward W.",39215
"Baker, Harriette Newell Woods",18345
"Hattie, Aunt",48181
"Rey, Lester del",56708
"Rey, Lester del",33067
"Rey, Lester del",53221
"Rey, Lester del",28321
"Del Rey, Lester",68261
"Smith, Grace",345
"Richmond, Grace S. (Grace Smith)",26594
"Parker, Horatio Gilbert",37627
"Parker, Horatio Gilbert",68534
"Parker, Gilbert, Sir, bart.",67348
"Parker, Gilbert, Sir, bart.",55902
"Parker, Gilbert",53392
"Parker, Gilbert",47723
"Parker, Gilbert",52885
"Parker, Gilbert",45550
"French, Anne Warner",50606
"Lutz, Grace Livingston Hill",53083
"Lutz, Grace Livingston Hill",49094
"Livingston, Grace",5318
"Livingston, Grace",8999
"Chaney, John Griffith",25498
"Chaney, John Griffith",16696
"Chaney, John Griffith",62018
"London, Jack",47191
"London, Jack",65457
"Wright, Harold Bell",64332
"Wright, Harold Bell",386
"Wright, Harold Bell",21053
"Wallace, Floyd L.",62460
"Wallace, Floyd L.",50722
"Wallace, Floyd Lee",2512
"Wallace, Floyd Lee",64437
"Wallace, F.L.",53196
"Wallace, F. L. (Floyd L.)",388
"Wallace, F. L. (Floyd L.)",57526
"Bixby, Jay Lewis",42262
"Bixby, Drexel Jerome Lewis",68703
"Lewis, D. B.",67997
"Wright, James Osborne, Mrs.",63129
"Wright, Mrs. James Osborne",15054
"Knibbs, H. H. (Henry Herbert)",62931
"Knibbs, H. H. (Henry Herbert)",7349
"Knibbs, H. H. (Henry Herbert)",67843
"Knibbs, Henry Herbert",47577
"Bellamy, Edward",918
"Crayon, Geoffrey",46487
"Irving, Washington",43433
"Irving, Washington",28005
"Irving, Washington",50062
"Stockton, Frank R. (Frank Richard)",54640
"Stockton, Frank R. (Frank Richard)",66077
"Stockton, Francis Richard",54661
"Stockton, Francis Richard",19556
"Stockton, Francis Richard",18536
"Stockton, Francis Richard",54437
"Stockton, Frank Richard",425
"Stockton, Frank Richard",46225
"Stockton, Frank Richard",50461
"Munroe, Kirk",55788
"Rohlfs, Mrs. Charles",53428
"Rohlfs, Mrs. Charles",20299
"Rohlfs, Anna Katharine Green",55578
