,0,1,2
342,232,"Quiller-Couch, Arthur Thomas",42
343,233,"Quiller-Couch, Arthur",42
344,2766,"Russell, W. Clark (William Clark)",42
345,2767,"Russell, William Clark",42
346,3781,"Fitch, Clarke",42
347,3782,"Garrison, Frederick",42
348,3783,"Sinclair, Upton Beall",42
349,3784,"Sinclair, Upton",42
350,5950,National Park Service (U.S.),42
351,5951,United States. Department of the Interior. National Park Service,42
352,5952,"Service, United States National Park",42
353,5953,"Service, National Park",42
354,5954,United States. National Park Service,42
355,7079,"Borrow, George Henry",42
356,7080,"Borrow, George",42
357,3630,"Morgan, Jane",41
358,3631,"Cooper, Fenimore",41
359,3632,"Cooper, J. Fenimore (James Fenimore)",41
360,3633,"Cooper, James Fenimore",41
361,3973,"Rohlfs, Mrs. Charles",41
362,3974,"Rohlfs, Anna Katharine Green",41
363,3975,"Green, Anna Katharine",41
364,7791,"Collins, William Wilkie",41
365,7792,"Collins, Wilkie",41
366,332,"Becke, George Louis",40
367,333,"Becke, Louis",40
368,1970,"Carlyle, T. (Thomas)",40
369,1971,"Carlyle, Thomas",40
370,2169,"Hancock, Harrie Irving",40
371,2170,"Hancock, H. Irving (Harrie Irving)",40
372,2315,"Sinclair, B. M. (Bertha Muzzy)",40
373,2316,"Sinclair, Bertha Muzzy",40
374,2317,"Bower, B. M.",40
375,3326,"Nesbit, Edith",40
376,3327,"Bland, Edith Nesbit",40
377,3328,"Nesbit, E. (Edith)",40
378,4882,"Yeats, William Butler",40
379,4883,"Yeats, W. B. (William Butler)",40
380,11540,"Seingalt, Jacques Casanova de",40
381,11541,"Seingalt, Giacomo Girolamo Casanova de",40
382,11542,"Casanova, Giacomo",40
383,273,"Darwin, Charles Robert",39
384,274,"Darwin, Charles",39
385,461,"Bangs, John Kendrick",39
386,2507,"Roosevelt, Theodore",39
387,7452,"Flower, Jessie Graham",39
388,7453,"Lester, Pauline",39
389,7454,"Gordon, Grace",39
390,7455,"Thompson, Ames",39
391,7456,"Bates, Gordon",39
392,7457,"Chase, Josephine",39
393,58,"Johnston, Annie Fellows",38
394,59,"Fellows, Annie",38
395,60,"Johnston, Annie F. (Annie Fellows)",38
396,540,"Stowe, Harriet Elizabeth Beecher",38
397,541,"Crowfield, Christopher",38
398,542,"Stowe, H. B. (Harriet Beecher)",38
399,543,"Stowe, Harriet Beecher",38
400,1071,"Alighieri, Dante",38
401,1072,Dante Alighieri,38
402,1198,"Riggs, Kate Douglas Smith Wiggin",38
403,1199,"Smith, Kate Douglas",38
404,1200,"Riggs, George Christopher, Mrs.",38
405,1201,"Wiggin, Samuel Bradley, Mrs.",38
406,1202,"Wiggin, Kate Douglas Smith",38
407,1618,"Holmes, Oliver Wendell",38
408,2504,United States President (1901-1909),38
